Date/Time,,V-CH1,V-CH2,V-CH3,V-CH4,V-CH5,V-CH6,V-CH7,V-CH8,V-CH9,V-CH10,V-CH11,V-CH12,V-CH13,V-CH14,V-CH15,V-CH16,V-CH17,V-CH18,V-CH19,V-CH20,V-CH21,V-CH22,V-CH23,V-CH24,V-CH25,V-CH26,V-CH27,V-CH28,V-CH29,V-CH30,MV-CH1,MV-CH2,MV-CH3,MV-CH4,MV-CH5,MV-CH6,MV-CH7,MV-CH8,MV-CH9,MV-CH10,MV-CH11,MV-CH12,MV-CH13,MV-CH14,MV-CH15,MV-CH16,PT100-CH1,PT100-CH2,PT100-CH3,PT100-CH4,PT100-CH5,PT100-CH6,PT100-CH7,PT100-CH8,PT100-CH9,PT100-CH10,PT100-CH11,PT100-CH12,PT100-CH13,PT100-CH14,40V
,RN,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,V
2025-4-11 14:00,1,0.001,0.0009,0.0028,0.0028,0.0028,0.0024,0.0027,0.0028,-1.0486,-1.0722,-1.0546,-1.0554,0.0026,0.0027,0.0026,0.0026,0.0004,-0.0015,0.0024,0.0001,-1.0418,-1.0736,-1.0855,-1.0891,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 16:00,2,0.0007,0.0006,0.0026,0.0025,0.0025,0.0022,0.0025,0.0025,-1.0495,-1.072,-1.0558,-1.0567,0.0025,0.0027,0.0024,0.0024,0.0001,-0.0017,0.002,-0.0001,-1.0409,-1.0727,-1.0835,-1.0881,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 18:00,3,0.0009,0.0008,0.0028,0.0027,0.0027,0.0022,0.0027,0.0027,-1.0486,-1.0685,-1.0514,-1.0516,0.0026,0.0027,0.0025,0.0024,0.0004,-0.0015,0.0023,0.0002,-1.0378,-1.0713,-1.0822,-1.0856,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 20:00,4,0.0009,0.0009,0.0028,0.0028,0.0027,0.0024,0.0027,0.0028,-1.0498,-1.0696,-1.053,-1.0546,0.0026,0.0027,0.0024,0.0025,0.0005,-0.0015,0.0024,0.0002,-1.0348,-1.0686,-1.0809,-1.0852,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 22:00,5,0.0008,0.0007,0.0026,0.0026,0.0026,0.0023,0.0025,0.0026,-1.0494,-1.0701,-1.0541,-1.0557,0.0025,0.0026,0.0025,0.0025,0.0002,-0.0017,0.0021,0,-1.0355,-1.0668,-1.0745,-1.0811,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 0:00,6,0.0008,0.0007,0.0026,0.0026,0.0025,0.0023,0.0025,0.0026,-1.047,-1.0698,-1.055,-1.0571,0.0025,0.0026,0.0025,0.0024,0.0002,-0.0016,0.0021,0.0001,-1.0351,-1.0683,-1.0749,-1.079,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 2:00,7,0.0008,0.0007,0.0027,0.0027,0.0026,0.0025,0.0025,0.0026,-1.0469,-1.0702,-1.0556,-1.058,0.0025,0.0025,0.0024,0.0024,0.0003,-0.0015,0.0022,0.0002,-1.0353,-1.068,-1.0748,-1.0798,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 4:00,8,0.0009,0.0007,0.0027,0.0028,0.0027,0.0024,0.0025,0.0026,-1.0477,-1.0711,-1.0562,-1.0589,0.0025,0.0026,0.0025,0.0024,0.0004,-0.0013,0.0023,0.0003,-1.0366,-1.0694,-1.0756,-1.0814,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 6:00,9,0.001,0.0009,0.0028,0.0028,0.0028,0.0026,0.0027,0.0028,-1.0523,-1.0738,-1.0579,-1.0619,0.0025,0.0025,0.0025,0.0024,0.0006,-0.0012,0.0025,0.0007,-1.038,-1.0714,-1.0775,-1.0839,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
